kind,pattern,control,bound,N,value,sample_size
distance,sexy,admissible_2310,27,3000000,0.0024551882414058585,41559
filter_mass,sexy,"14,23,61,89",27,3000000,0.6239322409105128,41559
distance,sexy,prime,89,3000000,0.0091522988650403446,41559
distance,sexy,prime_non_sexy,89,3000000,0.011322599557921155,41559
distance,sexy,admissible_210,89,3000000,0.0095320703913243203,41559
distance,sexy,admissible_2310,89,3000000,0.0094966935072630359,41559
filter_mass,sexy,"14,23,61,89",89,3000000,0.23771024326860607,41559
distance,sexy,prime,127,3000000,0.010793809290432508,41559
distance,sexy,prime_non_sexy,127,3000000,0.013353364231468169,41559
distance,sexy,admissible_210,127,3000000,0.011425756683700907,41559
distance,sexy,admissible_2310,127,3000000,0.011328844967571925,41559
filter_mass,sexy,"14,23,61,89",127,3000000,0.019273803508265356,41559
